GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Chongqing-Central_PV-2022,2025.03.21.20,0.0
Chongqing-Central_PV-2022,2025.04.11.00,0.0
Chongqing-Central_PV-2022,2025.04.11.04,0.0
Chongqing-Central_PV-2022,2025.04.11.08,0.0823479
Chongqing-Central_PV-2022,2025.04.11.12,0.138639
Chongqing-Central_PV-2022,2025.04.11.16,0.0438305
Chongqing-Central_PV-2022,2025.04.11.20,0.0
Chongqing-Central_PV-2022,2025.05.22.00,0.0
Chongqing-Central_PV-2022,2025.05.22.04,0.0
Chongqing-Central_PV-2022,2025.05.22.08,0.139849
Chongqing-Central_PV-2022,2025.05.22.12,0.40721500000000005
Chongqing-Central_PV-2022,2025.05.22.16,0.0937272
Chongqing-Central_PV-2022,2025.05.22.20,0.0
Chongqing-Central_PV-2022,2025.06.16.00,0.0
Chongqing-Central_PV-2022,2025.06.16.04,0.0
Chongqing-Central_PV-2022,2025.06.16.08,0.288047
Chongqing-Central_PV-2022,2025.06.16.12,0.618343
Chongqing-Central_PV-2022,2025.06.16.16,0.624129
Chongqing-Central_PV-2022,2025.06.16.20,0.0
Chongqing-Central_PV-2022,2025.07.22.00,0.0
Chongqing-Central_PV-2022,2025.07.22.04,0.0
Chongqing-Central_PV-2022,2025.07.22.08,0.478318
Chongqing-Central_PV-2022,2025.07.22.12,0.52154
Chongqing-Central_PV-2022,2025.07.22.16,0.41763900000000004
Chongqing-Central_PV-2022,2025.07.22.20,0.0
Chongqing-Central_PV-2022,2025.08.19.00,0.0
Chongqing-Central_PV-2022,2025.08.19.04,0.0
Chongqing-Central_PV-2022,2025.08.19.08,0.0832996
Chongqing-Central_PV-2022,2025.08.19.12,0.191002
Chongqing-Central_PV-2022,2025.08.19.16,0.0448976
Chongqing-Central_PV-2022,2025.08.19.20,0.0
Chongqing-Central_PV-2022,2025.09.20.00,0.0
Chongqing-Central_PV-2022,2025.09.20.04,0.0
Chongqing-Central_PV-2022,2025.09.20.08,0.424522
Chongqing-Central_PV-2022,2025.09.20.12,0.687481
Chongqing-Central_PV-2022,2025.09.20.16,0.519496
Chongqing-Central_PV-2022,2025.09.20.20,0.0
Chongqing-Central_PV-2022,2025.10.26.00,0.0
Chongqing-Central_PV-2022,2025.10.26.04,0.0
Chongqing-Central_PV-2022,2025.10.26.08,0.15066
Chongqing-Central_PV-2022,2025.10.26.12,0.20278300000000002
Chongqing-Central_PV-2022,2025.10.26.16,0.265432
Chongqing-Central_PV-2022,2025.10.26.20,0.0
Chongqing-Central_PV-2022,2025.11.19.00,0.0
Chongqing-Central_PV-2022,2025.11.19.04,0.0
Chongqing-Central_PV-2022,2025.11.19.08,0.0371628
Chongqing-Central_PV-2022,2025.11.19.12,0.318589
Chongqing-Central_PV-2022,2025.11.19.16,0.09305579999999998
Chongqing-Central_PV-2022,2025.11.19.20,0.0
Chongqing-Central_PV-2022,2025.12.16.00,0.0
Chongqing-Central_PV-2022,2025.12.16.04,0.0
Chongqing-Central_PV-2022,2025.12.16.08,0.0352901
Chongqing-Central_PV-2022,2025.12.16.12,0.279337
